name,affiliation,country,dept,year,homepage
Georgios Papaioannou ,Athens University of Economics and Business,europe,#N/A,#N/A,http://www.aueb.gr/users/gepap/
Giannis F. Marias ,Athens University of Economics and Business,europe,comm,1999,http://www.scirp.org/journal/DetailedInforOfEditorialBoard.aspx?personID=953
Ioannis Kontoyiannis ,Athens University of Economics and Business,europe,#N/A,#N/A,http://pages.cs.aueb.gr/~yiannisk/
Ioannis Milis ,Athens University of Economics and Business,europe,act,1999,https://uregister-ldap.aueb.gr/en/faculty/milis-ioannis
Ion Androutsopoulos ,Athens University of Economics and Business,europe,ai,2007,http://www.aueb.gr/users/ion/
Iordanis Koutsopoulos ,Athens University of Economics and Business,europe,comm,2001,http://www.cs.aueb.gr/~jordan/
Michalis K. Titsias ,Athens University of Economics and Business,europe,mlmining,2002,http://www.aueb.gr/users/mtitsias/
Michalis Vazirgiannis ,Athens University of Economics and Business,europe,ai,2007,http://www.db-net.aueb.gr/michalis/
Nicos Malevris ,Athens University of Economics and Business,europe,#N/A,#N/A,http://www.cs.aueb.gr/en/content/malevris-nikolaos
Nikolaos Malevris ,Athens University of Economics and Business,europe,#N/A,#N/A,https://uregister-ldap.aueb.gr/en/faculty/malevris-nikolaos
P. Katerinis ,Athens University of Economics and Business,europe,#N/A,#N/A,http://www.aueb.gr/pages_en/graduate/masters.php
P. Vassalos ,Athens University of Economics and Business,europe,#N/A,#N/A,http://pubs.dbs.uni-leipzig.de/aa/aff/Greece/Athens/Athens%20University%20of%20Economics%20and%20Business/
Panos Constantopoulos ,Athens University of Economics and Business,europe,ir,1997,https://uregister-ldap.aueb.gr/en/faculty/constantopoulos-panos
Stavros Toumpis ,Athens University of Economics and Business,europe,comm,2004,https://195.251.255.130/en/faculty/toumpis-stavros
T. Z. Kalamboukis ,Athens University of Economics and Business,europe,#N/A,#N/A,https://www.cs.aueb.gr/dpmlab/publicationsgr.htm
Theodore K. Apostolopoulos ,Athens University of Economics and Business,europe,#N/A,#N/A,http://ieeexplore.ieee.org/document/4114886/
Theodore Kalamboukis ,Athens University of Economics and Business,europe,#N/A,#N/A,https://uregister-ldap.aueb.gr/en/faculty/kalamboukis-theodore
Vana Kalogeraki ,Athens University of Economics and Business,europe,bed,2000,http://www.cs.aueb.gr/~vana/
Vangelis Markakis ,Athens University of Economics and Business,europe,ai,2008,http://pages.cs.aueb.gr/~markakis/
Vasilios A. Siris ,Athens University of Economics and Business,europe,comm,2004,http://www.aueb.gr/users/vsiris/
Vasilis Vassalos ,Athens University of Economics and Business,europe,ir,2001,https://www-2.aueb.gr/en/faculty/vassalos-vasilios
