name,affiliation,country,dept,year,homepage
Sharon Mason ,Rochester Institute of Technology,usa,#N/A,#N/A,http://ist.rit.edu/~spm/
Stanislaw P. Radziszowski ,Rochester Institute of Technology,usa,#N/A,#N/A,https://www.cs.rit.edu/~spr/homepage.html/
Stephen Jacobs ,Rochester Institute of Technology,usa,#N/A,#N/A,https://www.rit.edu/gccis/stephen-jacobs/
Steven J. Zilora ,Rochester Institute of Technology,usa,#N/A,#N/A,http://ist.rit.edu/~sjz/
Sumita Mishra ,Rochester Institute of Technology,usa,#N/A,#N/A,http://csec.rit.edu/~smishra/
Sylvia Perez-Hardy ,Rochester Institute of Technology,usa,#N/A,#N/A,https://www.rit.edu/gccis/sylvia-perez-hardy/
Tae Oh ,Rochester Institute of Technology,usa,#N/A,#N/A,https://www.rit.edu/gccis/computingsecurity/people/tom-oh/
Tona Henderson ,Rochester Institute of Technology,usa,#N/A,#N/A,https://www.rit.edu/gccis/igm/tona-henderson/
Vicki L. Hanson ,Rochester Institute of Technology,usa,chi,2013,http://staff.computing.dundee.ac.uk/vlh/
W. Michelle Harris ,Rochester Institute of Technology,usa,#N/A,#N/A,https://people.rit.edu/wmhics/
Wiley R. McKinzie ,Rochester Institute of Technology,usa,#N/A,#N/A,https://www.rit.edu/programs/faculty/gccis-ugrad/
Xumin Liu ,Rochester Institute of Technology,usa,#N/A,#N/A,https://www.cs.rit.edu/people/faculty/xl/
Yin Pan ,Rochester Institute of Technology,usa,#N/A,#N/A,https://www.rit.edu/gccis/computingsecurity/people/yin-pan/
Zack Butler ,Rochester Institute of Technology,usa,robotics,2009,https://www.cs.rit.edu/~zjb/
Zack J. Butler ,Rochester Institute of Technology,usa,mobile,2003,https://www.cs.rit.edu/~zjb/
Abdeslam Boularias ,Rutgers University,usa,ai,2011,http://www.abdeslam.net/
Abhishek Bhattacharjee ,Rutgers University,usa,arch,2009,http://www.cs.rutgers.edu/~abhib/
Ahmed M. Elgammal ,Rutgers University,usa,ai,2013,http://www.cs.rutgers.edu/~elgammal/Home.html/
Alexander Borgida ,Rutgers University,usa,ai,1975,https://www.cs.rutgers.edu/~borgida/
Alexander Schliep ,Rutgers University,usa,bio,2008,http://www.cs.rutgers.edu/~schliep/
AmÌ©lie Marian ,Rutgers University,usa,mod,2001,https://www.cs.rutgers.edu/~amelie/
Apostolos Gerasoulis ,Rutgers University,usa,hpc,1990,https://www.cs.rutgers.edu/~gerasoul/
B. R. Badrinath ,Rutgers University,usa,comm,1996,http://www.cs.rutgers.edu/~badri/
Badri Nath ,Rutgers University,usa,mobile,2003,http://www.cs.rutgers.edu/~badri/
Bahman Kalantari ,Rutgers University,usa,#N/A,#N/A,http://www.cs.rutgers.edu/~kalantar/
Casimir A. Kulikowski ,Rutgers University,usa,ai,1977,https://www.cs.rutgers.edu/~kulikows/
David Cash ,Rutgers University,usa,crypt,2008,http://www.research.rutgers.edu/~dc789/
Desheng Zhang ,Rutgers University,usa,bed,2012,https://www.cs.rutgers.edu/~dz220/
Dimitris N. Metaxas ,Rutgers University,usa,ai,1994,https://www.cs.rutgers.edu/~dnm/
Eddy Z. Zhang ,Rutgers University,usa,arch,2011,http://www.cs.rutgers.edu/~zz124/
Eddy Zheng Zhang ,Rutgers University,usa,#N/A,#N/A,http://www.cs.rutgers.edu/~zz124/
Endre SzemerÌ©di ,Rutgers University,usa,act,1983,http://www.math.rutgers.edu/docs/szemeredi.html/
Eric Allender ,Rutgers University,usa,act,1987,http://www.cs.rutgers.edu/~allender/
Gerard R. Richter ,Rutgers University,usa,#N/A,#N/A,http://www.cs.rutgers.edu/~richter/
Gerard de Melo ,Rutgers University,usa,ai,2011,http://gerard.demelo.org/
Jingjin Yu ,Rutgers University,usa,ai,2013,http://jingjinyu.com/
Konstantinos P. Michmizos ,Rutgers University,usa,#N/A,#N/A,http://combra.cs.rutgers.edu/
Kostas E. Bekris ,Rutgers University,usa,ai,2011,http://www.pracsyslab.org/bekris/
Kostis P. Michmizos ,Rutgers University,usa,#N/A,#N/A,http://combra.cs.rutgers.edu/
Liviu Iftode ,Rutgers University,usa,arch,1996,https://www.cs.rutgers.edu/~iftode/
Louis I. Steinberg ,Rutgers University,usa,ai,1982,https://www.cs.rutgers.edu/~lou/
Manish Parashar ,Rutgers University,usa,hpc,1992,http://parashar.rutgers.edu/
Mario Szegedy ,Rutgers University,usa,act,1987,http://www.cs.rutgers.edu/~szegedy/
Martin Farach ,Rutgers University,usa,act,1991,http://www.cs.rutgers.edu/~farach/
Martin Farach-Colton ,Rutgers University,usa,act,1999,http://www.cs.rutgers.edu/~farach/
Matthew Stone ,Rutgers University,usa,ai,1998,https://www.cs.rutgers.edu/~mdstone/
Michael L. Fredman ,Rutgers University,usa,act,1980,https://www.cs.rutgers.edu/faculty/michael-fredman/
Mubbasir Kapadia ,Rutgers University,usa,robotics,2013,http://www.cs.rutgers.edu/~mk1353/
Naftaly H. Minsky ,Rutgers University,usa,ir,2002,https://www.cs.rutgers.edu/~minsky/
Naftaly Minsky ,Rutgers University,usa,#N/A,#N/A,https://www.cs.rutgers.edu/~minsky/
Ping Li 0001 ,Rutgers University,usa,act,2008,http://www.stat.rutgers.edu/home/pingli/
Pranjal Awasthi ,Rutgers University,usa,act,2010,http://www.cs.rutgers.edu/~pa336/
Rebecca N. Wright ,Rutgers University,usa,act,1993,https://www.cs.rutgers.edu/~rwright1/
Richard P. Martin ,Rutgers University,usa,arch,1997,https://www.cs.rutgers.edu/~rmartin/
S. Muthu Muthukrishnan ,Rutgers University,usa,#N/A,#N/A,http://www.cs.rutgers.edu/~muthu/
S. Muthukrishnan ,Rutgers University,usa,act,1993,http://www.cs.rutgers.edu/~muthu/
Santosh Nagarakatte ,Rutgers University,usa,arch,2010,https://www.cs.rutgers.edu/~santosh.nagarakatte/
Shubhangi Saraf ,Rutgers University,usa,act,2009,https://www.math.rutgers.edu/~ss1984/
Swastik Kopparty ,Rutgers University,usa,act,2006,http://www.math.rutgers.edu/~sk1233/
Thu D. Nguyen ,Rutgers University,usa,arch,2013,https://www.cs.rutgers.edu/~tdnguyen/
Thu Duc Nguyen ,Rutgers University,usa,#N/A,#N/A,https://www.cs.rutgers.edu/~tdnguyen/
Tomasz Imielinski ,Rutgers University,usa,ai,1985,https://www.cs.rutgers.edu/~imielins/
Ulrich Kremer ,Rutgers University,usa,hpc,1989,http://www.cs.rutgers.edu/~uli/
Vinod Ganapathy ,Rutgers University,usa,arch,2006,http://www.cs.rutgers.edu/~vinodg/
Vladimir I. Pavlovic ,Rutgers University,usa,#N/A,#N/A,http://www.cs.rutgers.edu/~vladimir/profile.html/
Vladimir Pavlovic ,Rutgers University,usa,ai,2016,http://www.business.rutgers.edu/faculty-research/directory/vladimir-pavlovic/
William Steiger ,Rutgers University,usa,#N/A,#N/A,http://www.cs.rutgers.edu/~steiger/
Andrei A. Bulatov ,Simon Fraser University,canada,act,2001,http://www.cs.sfu.ca/~abulatov/
Andrei Bulatov ,Simon Fraser University,canada,#N/A,#N/A,http://www.cs.sfu.ca/~abulatov/
Anoop Sarkar ,Simon Fraser University,canada,nlp,1998,http://www.cs.sfu.ca/~anoop/
Arrvindh Shriraman ,Simon Fraser University,canada,arch,2007,http://www.cs.sfu.ca/~ashriram/
Binay Bhattacharya ,Simon Fraser University,canada,#N/A,#N/A,https://www.cs.sfu.ca/~binay/
Binay K. Bhattacharya ,Simon Fraser University,canada,robotics,2000,http://www.cs.sfu.ca/~anoop/
Brian V. Funt ,Simon Fraser University,canada,ai,1977,http://www.cs.sfu.ca/~funt/
David G. Mitchell ,Simon Fraser University,canada,ai,1992,https://www.cs.sfu.ca/~mitchell/
Eugenia Ternovska ,Simon Fraser University,canada,ai,2005,http://www.cs.sfu.ca/~ter/
Eugenia Ternovskaia ,Simon Fraser University,canada,ai,1999,https://www.cs.sfu.ca/~ter/
Fred Popowich ,Simon Fraser University,canada,ai,2015,https://www.sfu.ca/~popowich/public/Home.html/
Ghassan Hamarneh ,Simon Fraser University,canada,vis,2010,http://www.cs.sfu.ca/~hamarneh/
Greg Mori ,Simon Fraser University,canada,mlmining,2008,http://www.cs.sfu.ca/~mori/
Hao (Richard) Zhang ,Simon Fraser University,canada,#N/A,#N/A,http://www.cs.sfu.ca/~haoz/
Hao Zhang 0002 ,Simon Fraser University,canada,graph,2009,http://www.cs.sfu.ca/~haoz/
James P. Delgrande ,Simon Fraser University,canada,ai,1987,http://www.cs.sfu.ca/~jim/
Jian Pei ,Simon Fraser University,canada,ai,2006,http://www.cs.sfu.ca/~jpei/
Jiangchuan Liu ,Simon Fraser University,canada,comm,2002,http://www.cs.sfu.ca/~jcliu/
Jiannan Wang ,Simon Fraser University,canada,ir,2012,http://www.cs.sfu.ca
Joseph G. Peters ,Simon Fraser University,canada,metrics,1987,http://www.sfu.ca/computing/people/faculty/JosephPeters.html/
Joseph Peters ,Simon Fraser University,canada,#N/A,#N/A,https://www.sfu.ca/computing/people/faculty/JosephPeters.html/
Kay C. Wiese ,Simon Fraser University,canada,#N/A,#N/A,https://www.sfu.ca/computing/people/faculty/kaywiese.html/
Ke Wang ,Simon Fraser University,canada,ai,2006,http://www.cs.sfu.ca/~wangk/
Leonid Chindelevitch ,Simon Fraser University,canada,mlmining,2008,http://www.cs.sfu.ca/~leonid/
Mark S. Drew ,Simon Fraser University,canada,vis,2002,http://www.cs.sfu.ca/~mark
Mark Samuel Drew ,Simon Fraser University,canada,vision,2014,https://www.cs.sfu.ca/~mark/
Martin Ester ,Simon Fraser University,canada,ai,2011,http://www.cs.sfu.ca/~ester/
Mohamed Hefeeda ,Simon Fraser University,canada,comm,2009,http://www.cs.sfu.ca/~mhefeeda
Nick Sumner ,Simon Fraser University,canada,hpc,2016,http://www.cs.sfu.ca/~wsumner/
Oliver Schulte ,Simon Fraser University,canada,ai,2009,http://www.cs.sfu.ca/~oschulte/
Parmit K. Chilana ,Simon Fraser University,canada,chi,2010,http://www.cs.sfu.ca
Pavol Hell ,Simon Fraser University,canada,act,1978,http://www.cs.sfu.ca/~pavol/
Petra Berenbrink ,Simon Fraser University,canada,act,1999,http://www.cs.sfu.ca/~petra
Ping Tan ,Simon Fraser University,canada,graph,2006,http://www.cs.sfu.ca/~pingtan/
Qian-Ping Gu ,Simon Fraser University,canada,#N/A,#N/A,https://www.cs.sfu.ca/~qgu/
Qianping Gu ,Simon Fraser University,canada,#N/A,#N/A,https://www.cs.sfu.ca/~qgu/
Ramesh Krishnamurti ,Simon Fraser University,canada,robotics,2007,https://www.sfu.ca/computing/people/faculty/RameshKrishnamurti.html/
Richard T. Vaughan ,Simon Fraser University,canada,robotics,2001,http://www.cs.sfu.ca/~vaughan/
Robert D. Cameron ,Simon Fraser University,canada,arch,2009,http://www.cs.sfu.ca/~cameron
Ryan C. N. D'Arcy ,Simon Fraser University,canada,#N/A,#N/A,http://www.sfu.ca/engineering/people/faculty/ryan_darcy.html/
Thomas C. Shermer ,Simon Fraser University,canada,act,1991,http://www.cs.sfu.ca/~shermer/
Uwe GlÌ_sser ,Simon Fraser University,canada,mlmining,2014,http://www.cs.sfu.ca/~glaesser/
Valentine Kabanets ,Simon Fraser University,canada,act,2000,http://www.cs.sfu.ca/~kabanets/
William N. Sumner ,Simon Fraser University,canada,arch,2015,http://http://www.cs.sfu.ca/~wsumner/
Wo-Shun Luk ,Simon Fraser University,canada,#N/A,#N/A,https://www.cs.sfu.ca/~woshun/
Ze-Nian Li ,Simon Fraser University,canada,ai,2005,http://www.cs.sfu.ca/~li
Aaron Sidford ,Stanford University,usa,act,2013,http://www.aaronsidford.com/
Alex Aiken ,Stanford University,usa,arch,2006,https://theory.stanford.edu/~aiken/
Alexander Aiken ,Stanford University,usa,arch,1986,https://theory.stanford.edu/~aiken/
Anshul Kundaje ,Stanford University,usa,bio,2005,https://med.stanford.edu/profiles/anshul-kundaje/
Balaji Prabhakar ,Stanford University,usa,act,2002,http://web.stanford.edu/~balaji/
Christoforos E. Kozyrakis ,Stanford University,usa,arch,1997,http://csl.stanford.edu/~christos/
Christopher D. Manning ,Stanford University,usa,ai,2003,http://nlp.stanford.edu/manning/
Christopher RÌ© ,Stanford University,usa,act,2016,http://cs.stanford.edu/people/chrismre/
Christos Kozyrakis ,Stanford University,usa,arch,2004,http://csl.stanford.edu/~christos/
Dan Boneh ,Stanford University,usa,act,1997,http://crypto.stanford.edu/~dabo/
Dan Jurafsky ,Stanford University,usa,chi,2014,http://web.stanford.edu/~jurafsky/
Daniel Jurafsky ,Stanford University,usa,ai,1992,http://web.stanford.edu/~jurafsky/
David L. Dill ,Stanford University,usa,arch,1995,https://profiles.stanford.edu/david-dill/
David MaziÌ¬res ,Stanford University,usa,arch,2017,http://www.scs.stanford.edu/~dm/
David R. Cheriton ,Stanford University,usa,arch,1986,http://web.stanford.edu/~cheriton/
Dawson R. Engler ,Stanford University,usa,ai,2007,http://web.stanford.edu/~engler/
Doug L. James ,Stanford University,usa,graph,1999,https://profiles.stanford.edu/doug-james/
Eric Roberts ,Stanford University,usa,#N/A,#N/A,http://cs.stanford.edu/people/eroberts/
Fei-Fei Li ,Stanford University,usa,chi,2011,http://vision.stanford.edu/feifeili/
Gill Bejerano ,Stanford University,usa,bio,1999,http://bejerano.stanford.edu/pi.html/
Gregory Valiant ,Stanford University,usa,act,2008,http://theory.stanford.edu/~valiant/
Hector Garcia-Molina ,Stanford University,usa,bed,1990,http://infolab.stanford.edu/people/hector.html/
J. Kenneth Salisbury ,Stanford University,usa,robotics,1989,http://robotics.stanford.edu/~jks/
James A. Landay ,Stanford University,usa,chi,1995,https://profiles.stanford.edu/james-landay/
Jennifer Widom ,Stanford University,usa,act,2000,http://infolab.stanford.edu/~widom/
John C. Mitchell ,Stanford University,usa,act,1984,http://theory.stanford.edu/people/jcm/
John K. Ousterhout ,Stanford University,usa,arch,1992,http://web.stanford.edu/~ouster/
John Kenneth Salisbury Jr. ,Stanford University,usa,robotics,1984,https://med.stanford.edu/profiles/john-salisbury/
John L. Hennessy ,Stanford University,usa,arch,1982,https://president.stanford.edu/biography/
Jure Leskovec ,Stanford University,usa,ai,2005,https://cs.stanford.edu/people/jure/
Keith Winstein ,Stanford University,usa,comm,2013,https://cs.stanford.edu/~keithw/
Kenneth Salisbury ,Stanford University,usa,robotics,1986,http://robotics.stanford.edu/~jks/
Kunle Olukotun ,Stanford University,usa,arch,1991,http://arsenalfc.stanford.edu/kunle/
Leonidas J. Guibas ,Stanford University,usa,act,1976,http://geometry.stanford.edu/member/guibas/
Li Fei-Fei ,Stanford University,usa,ai,2017,http://vision.stanford.edu/
Maneesh Agrawala ,Stanford University,usa,chi,2004,http://graphics.stanford.edu/~maneesh/
Mark A. Horowitz ,Stanford University,usa,arch,2013,http://stanford.edu/~horowitz/
Mark Horowitz ,Stanford University,usa,arch,1986,http://stanford.edu/~horowitz/
Mary Wootters ,Stanford University,usa,act,2013,https://engineering.stanford.edu/people/mary-wootters/
Matei A. Zaharia ,Stanford University,usa,mobile,2006,https://people.csail.mit.edu/matei/
Matei Zaharia ,Stanford University,usa,comm,2011,https://people.csail.mit.edu/matei/
Mehran Sahami ,Stanford University,usa,ai,1993,http://robotics.stanford.edu/users/sahami/bio.html/
Mendel Rosenblum ,Stanford University,usa,arch,1994,http://web.stanford.edu/~mendel/
Michael R. Genesereth ,Stanford University,usa,ai,1979,http://logic.stanford.edu/people/genesereth/
Michael S. Bernstein ,Stanford University,usa,chi,2006,http://hci.stanford.edu/msb/
Monica S. Lam ,Stanford University,usa,arch,1986,https://suif.stanford.edu/~lam/
Moses Charikar ,Stanford University,usa,act,1997,http://www.cs.princeton.edu/~moses/
Moses Samson Charikar ,Stanford University,usa,#N/A,#N/A,http://www.cs.princeton.edu/~moses/
Nick McKeown ,Stanford University,usa,chi,2012,http://stanford.edu/~nickm/
Omer Reingold ,Stanford University,usa,act,1995,https://omereingold.wordpress.com/
Oussama Khatib ,Stanford University,usa,graph,1997,http://cs.stanford.edu/group/manips/people/oussama-khatib/
Oyekunle A. Olukotun ,Stanford University,usa,#N/A,#N/A,http://arsenalfc.stanford.edu/kunle/
Pat Hanrahan ,Stanford University,usa,arch,1987,https://graphics.stanford.edu/~hanrahan/
Patrick M. Hanrahan ,Stanford University,usa,graph,1982,https://graphics.stanford.edu/~hanrahan/
Percy Liang ,Stanford University,usa,mlmining,2007,https://cs.stanford.edu/~pliang/
Peter Bailis ,Stanford University,usa,da,2011,http://www.bailis.org/
Philip Levis ,Stanford University,usa,arch,2002,http://csl.stanford.edu/~pal/
Ron Fedkiw ,Stanford University,usa,#N/A,#N/A,http://cs.stanford.edu/~fedkiw/
Ron O. Dror ,Stanford University,usa,arch,2007,http://cs.stanford.edu/people/rondror/
Ronald Fedkiw ,Stanford University,usa,graph,2001,http://cs.stanford.edu/~fedkiw/
Sachin Katti ,Stanford University,usa,chi,2012,http://stanford.edu/~skatti/
Sachin Rajsekhar Katti ,Stanford University,usa,comm,2011,http://stanford.edu/~skatti/
Serafim Batzoglou ,Stanford University,usa,act,1997,http://www.serafimb.org/people.html/
Silvio Savarese ,Stanford University,usa,ai,2012,http://cvgl.stanford.edu/silvio/
Stefano Ermon ,Stanford University,usa,ai,2011,https://cs.stanford.edu/~ermon/
Subhasish Mitra ,Stanford University,usa,da,2005,https://web.stanford.edu/~subh/
Tim Roughgarden ,Stanford University,usa,act,2000,http://theory.stanford.edu/~tim/
William J. Dally ,Stanford University,usa,arch,1985,http://csl.stanford.edu/~billd/
Yoav Shoham ,Stanford University,usa,ai,1985,http://robotics.stanford.edu/users/shoham/
Adriana B. Compagnoni ,Stevens Institute of Technology,usa,log,1996,http://www.cs.stevens.edu/~abc/Adriana_Compagnoni/Adriana_Compagnoni.html/
Antonio Nicolosi ,Stevens Institute of Technology,usa,crypt,2004,http://www.cs.stevens.edu/~nicolosi/
David A. Naumann ,Stevens Institute of Technology,usa,log,2004,http://www.cs.stevens.edu/~naumann/
David J. Farber ,Stevens Institute of Technology,usa,comm,1988,http://www.stevens.edu/directory/alumni-engagement-development/awards/stevens-awards-gala/previous-galas/second-annual-awards-gala/david-j-farber/
David Klappholz ,Stevens Institute of Technology,usa,arch,1977,http://web.stevens.edu/facultyprofile/?id=826/
Dominic Duggan ,Stevens Institute of Technology,usa,plan,1988,http://www.cs.stevens.edu/~dduggan/
Enrique Dunn ,Stevens Institute of Technology,usa,robotics,2005,http://enrique.web.unc.edu/
Fernando PÌ©rez-Cruz ,Stevens Institute of Technology,usa,mlmining,2000,http://web.stevens.edu/facultyprofile/?id=2224/
Georgios Portokalidis ,Stevens Institute of Technology,usa,ops,2004,http://www.cs.stevens.edu/~gportoka/
Giuseppe Ateniese ,Stevens Institute of Technology,usa,comm,2014,http://web.stevens.edu/facultyprofile/?id=2182/
Hui Wang 0013 ,Stevens Institute of Technology,usa,#N/A,#N/A,http://www.cs.stevens.edu/~hwang4/
Nikos Triandopoulos ,Stevens Institute of Technology,usa,crypt,2006,http://web.stevens.edu/facultyprofile/?id=2227/
Philippos Mordohai ,Stevens Institute of Technology,usa,ai,2005,http://www.cs.stevens.edu/~mordohai/
Samantha Kleinberg ,Stevens Institute of Technology,usa,ai,2011,http://www.skleinberg.org/
Susanne Wetzel ,Stevens Institute of Technology,usa,sec,1999,http://www.cs.stevens.edu/~swetzel/
Wendy Hui Wang ,Stevens Institute of Technology,usa,mod,2004,http://www.cs.stevens.edu/~hwang4/
Allen Tannenbaum ,Stony Brook University,usa,vision,1994,http://www.iacs.stonybrook.edu/people/affiliates/allen-tannenbaum/
Anita Wasilewska ,Stony Brook University,usa,#N/A,#N/A,http://www3.cs.stonybrook.edu/~anita/
Anshul Gandhi ,Stony Brook University,usa,metrics,2009,http://www3.cs.stonybrook.edu/~anshul/
Arie E. Kaufman ,Stony Brook University,usa,graph,1976,http://www3.cs.stonybrook.edu/~ari/
Aruna Balasubramanian ,Stony Brook University,usa,chi,2015,https://www.cs.stonybrook.edu/people/faculty/ArunaBalasubramanian/
Barbara M. Chapman ,Stony Brook University,usa,hpc,1993,https://www.cs.stonybrook.edu/people/faculty/BarbaraChapman/
Barbara Mary Chapman ,Stony Brook University,usa,#N/A,#N/A,https://www.iacs.stonybrook.edu/people/faculty/barbara-chapman/
C. R. Ramakrishnan ,Stony Brook University,usa,bed,2000,http://www3.cs.stonybrook.edu/~cram/
Cartic R. Ramakrishnan ,Stony Brook University,usa,#N/A,#N/A,http://www3.cs.stonybrook.edu/~cram/
Dimitris Samaras ,Stony Brook University,usa,mlmining,2005,http://www3.cs.stonybrook.edu/~samaras/
Erez Zadok ,Stony Brook University,usa,metrics,2008,http://www3.cs.stonybrook.edu/~ezk/
Eugene W. Stark ,Stony Brook University,usa,log,1992,http://bsd7.cs.sunysb.edu/~stark/
Francesco Orabona ,Stony Brook University,usa,mlmining,2008,http://francesco.orabona.com/
Fusheng Wang ,Stony Brook University,usa,mod,2005,https://www.cs.stonybrook.edu/people/faculty/FushengWang/
Hansen Andrew Schwartz ,Stony Brook University,usa,nlp,2014,http://www3.cs.stonybrook.edu/~has/
Himanshu Gupta ,Stony Brook University,usa,comm,2011,http://www3.cs.stonybrook.edu/~hgupta/
Hong Qin ,Stony Brook University,usa,mlmining,2007,http://www3.cs.stonybrook.edu/~qin/
I. V. Ramakrishnan ,Stony Brook University,usa,ai,1995,https://www.cs.stonybrook.edu/people/faculty/IVRamakrishnan/
Jie Gao ,Stony Brook University,usa,act,2003,http://www3.cs.stonybrook.edu/~jgao/
Jing Chen ,Stony Brook University,usa,ai,2016,https://www.cs.stonybrook.edu/people/faculty/JingChen/
Klaus Mueller ,Stony Brook University,usa,vis,1996,http://www3.cs.stonybrook.edu/~mueller/
Leo Bachmair ,Stony Brook University,usa,ai,1995,http://www3.cs.stonybrook.edu/~leo/
Long Lu ,Stony Brook University,usa,mobile,2016,http://www.longlu.org/
Michael A. Bender ,Stony Brook University,usa,act,1994,http://www3.cs.stonybrook.edu/~bender/
Michael Ferdman ,Stony Brook University,usa,arch,2008,http://compas.cs.stonybrook.edu/~mferdman/
Michael Kifer ,Stony Brook University,usa,ai,1989,http://www3.cs.stonybrook.edu/~kifer/
Michalis Polychronakis ,Stony Brook University,usa,metrics,2013,https://www3.cs.stonybrook.edu/~mikepo/
Minh Hoai ,Stony Brook University,usa,mlmining,2016,http://www3.cs.stonybrook.edu/~minhhoai/
Minh Hoai Nguyen ,Stony Brook University,usa,mlmining,2008,http://www3.cs.stonybrook.edu/~minhhoai/
Nick Nikiforakis ,Stony Brook University,usa,ir,2013,https://www.cs.stonybrook.edu/people/faculty/NickNikiforakis/
Nima Honarmand ,Stony Brook University,usa,arch,2013,http://compas.cs.stonybrook.edu/~nhonarmand/
Niranjan Balasubramanian ,Stony Brook University,usa,ir,2010,http://www3.cs.stonybrook.edu/~niranjan/
Omkant Pandey ,Stony Brook University,usa,act,2016,https://www.cs.stonybrook.edu/people/faculty/OmkantPandey/
R. Sekar ,Stony Brook University,usa,arch,2016,http://seclab.cs.sunysb.edu/sekar/
Radu Sion ,Stony Brook University,usa,hpc,2011,https://www.cs.stonybrook.edu/people/faculty/RaduSion/
Rezaul Alam Chowdhury ,Stony Brook University,usa,act,2005,http://www3.cs.stonybrook.edu/~rezaul/
Rezaul Chowdhury ,Stony Brook University,usa,#N/A,#N/A,http://www3.cs.stonybrook.edu/~rezaul/
Robert F. Kelly ,Stony Brook University,usa,#N/A,#N/A,https://www.cs.stonybrook.edu/people/faculty/RobertKelly/
Robert Patro ,Stony Brook University,usa,bio,2013,https://www.cs.stonybrook.edu/people/faculty/RobertPatro/
Rong Zhao ,Stony Brook University,usa,#N/A,#N/A,http://www3.cs.stonybrook.edu/~rzhao/
Roy Shilkrot ,Stony Brook University,usa,chi,2013,https://www.cs.stonybrook.edu/people/faculty/RoyShilkrot/
Samir R. Das ,Stony Brook University,usa,comm,2007,http://www3.cs.stonybrook.edu/~samir/
Samir Ranjan Das ,Stony Brook University,usa,comm,2000,http://www3.cs.stonybrook.edu/~samir/
Scott A. Smolka ,Stony Brook University,usa,bed,2000,http://www3.cs.stonybrook.edu/~sas/
Scott D. Stoller ,Stony Brook University,usa,log,1998,http://www3.cs.stonybrook.edu/~stoller/
Steven Skiena ,Stony Brook University,usa,act,1995,http://www.cs.stonybrook.edu/~skiena/
Xianfeng David Gu ,Stony Brook University,usa,comm,2013,http://www3.cs.stonybrook.edu/~gu/
Xianfeng Gu ,Stony Brook University,usa,comm,2010,http://www3.cs.stonybrook.edu/~gu/
Xiaojun Bi ,Stony Brook University,usa,chi,2008,https://www.cs.stonybrook.edu/people/faculty/XiaojunBi/
Yanhong A. Liu ,Stony Brook University,usa,log,1998,http://www3.cs.stonybrook.edu/~liu/
Ahmad-Reza Sadeghi ,TU Darmstadt,europe,crypt,1999,https://www.trust.informatik.tu-darmstadt.de/people/ahmad-reza-sadeghi/
Alejandro P. Buchmann ,TU Darmstadt,europe,comm,2007,http://www.dvs.tu-darmstadt.de/staff/buchmann/
Andreas Koch ,TU Darmstadt,europe,da,1996,http://www.esa.informatik.tu-darmstadt.de/twiki/bin/view/Staff/AndreasKochEn.html/
Chris Biemann ,TU Darmstadt,europe,nlp,2006,https://www.lt.tu-darmstadt.de/de/people/prof-dr-chris-biemann/
Christian Biemann ,TU Darmstadt,europe,#N/A,#N/A,https://www.lt.tu-darmstadt.de/de/people/prof-dr-chris-biemann/
Christian Bischof ,TU Darmstadt,europe,#N/A,#N/A,http://www.sc.informatik.tu-darmstadt.de/fg/people/mitarbeiterdetails_sc_5312.en.jsp/
Dieter W. Fellner ,TU Darmstadt,europe,vision,1998,http://www.gris.tu-darmstadt.de/home/members/fellner/index.en.htm/
Felix Wolf ,TU Darmstadt,europe,hpc,2009,https://www.parallel.informatik.tu-darmstadt.de/
Gerhard Neumann ,TU Darmstadt,europe,ai,2013,https://www.informatik.tu-darmstadt.de/de/fachbereich/professoren-des-fachbereichs/single-view/artikel/prof-dr-gerhard-neumann-erklaert-robotern-die-unabhaengigkeit/
Guido Salvaneschi ,TU Darmstadt,europe,plan,2015,http://www.guidosalvaneschi.com/
Heiko Mantel ,TU Darmstadt,europe,sec,2001,http://www.mais.informatik.tu-darmstadt.de/Heiko_Mantel.html/
Iryna Gurevych ,TU Darmstadt,europe,ai,2008,https://www.ukp.tu-darmstadt.de/people/group-heads/prof-dr-iryna-gurevych/
Jan Peters 0001 ,TU Darmstadt,europe,ai,2008,http://www.kyb.mpg.de/~jrpeters/
Johannes A. Buchmann ,TU Darmstadt,europe,act,1991,https://www.cdc.informatik.tu-darmstadt.de/de/cdc/personen/johannes-buchmann/
Johannes FÌ_rnkranz ,TU Darmstadt,europe,ai,1997,http://www.ke.tu-darmstadt.de/staff/juffi/
Karsten Weihe ,TU Darmstadt,europe,act,1993,https://www.algo.informatik.tu-darmstadt.de/algorithmik/mitarbeiter/karsten-weihe/
Marc Fischlin ,TU Darmstadt,europe,act,1997,http://www.cryptoplexity.informatik.tu-darmstadt.de/members/marcfischlin/marcfischlin.en.jsp/
Matthias Hollick ,TU Darmstadt,europe,#N/A,#N/A,https://www.seemoo.tu-darmstadt.de/team/matthias-hollick/
Max MÌ_hlhÌ_user ,TU Darmstadt,europe,chi,2014,https://www.informatik.tu-darmstadt.de/de/fachbereich/professoren-des-fachbereichs/single-view/artikel/prof-dr-max-muehlhaeuser/
Melanie Volkamer ,TU Darmstadt,europe,#N/A,#N/A,https://www.secuso.informatik.tu-darmstadt.de/de/secuso-home/team/melanie-volkamer/
Michael Goesele ,TU Darmstadt,europe,graph,2003,http://www.gcc.tu-darmstadt.de/home/we/michael_goesele/
Michael Pradel ,TU Darmstadt,europe,plan,2012,http://mp.binaervarianz.de/
